Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.42     29.71     0.23 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__401__PROF__CSR__l86(Vtop___024root*)
  0.41     29.93     0.22 49843200     0.00     0.00  Vtop___024root___ico_sequent__TOP__3__PROF__ICache__l56(Vtop___024root*)
  0.41     30.15     0.22 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__223__PROF__ICache__l171(Vtop___024root*)
  0.41     30.36     0.21 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__25__PROF__DCache__l178(Vtop___024root*)
  0.40     30.57     0.21 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__212__PROF__CLINT__l119(Vtop___024root*)
  0.40     30.79     0.21 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__439__PROF__ICache__l217(Vtop___024root*)
  0.39     30.99     0.20 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__417__PROF__Crossbar__l542(Vtop___024root*)
  0.39     31.20     0.20 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__423__PROF__ICache__l235(Vtop___024root*)
  0.38     31.39     0.20 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__786__PROF__IDU__l152(Vtop___024root*)
  0.38     31.59     0.20 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__740__PROF__DCache__l201(Vtop___024root*)
  0.37     31.79     0.20 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__620__PROF__S011HD1P_X32Y2D128_BW__l20(Vtop___024root*)
  0.37     31.98     0.20 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__233__PROF__EXU__l403(Vtop___024root*)
  0.36     32.17     0.19 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__18__PROF__CLINT__l58(Vtop___024root*)
  0.36     32.37     0.19 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__789__PROF__ALU__l53(Vtop___024root*)
  0.35     32.55     0.18 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__738__PROF__ALU__l38(Vtop___024root*)
  0.33     32.73     0.17 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__26__PROF__AXI4SRAM__l93(Vtop___024root*)
  0.33     32.90     0.17 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__418__PROF__Crossbar__l541(Vtop___024root*)
  0.32     33.07     0.17 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__612__PROF__EXU__l119(Vtop___024root*)
  0.32     33.24     0.17 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__218__PROF__DCache__l501(Vtop___024root*)
  0.31     33.41     0.17 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__611__PROF__EXU__l148(Vtop___024root*)
  0.30     33.56     0.16 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__787__PROF__EXU__l363(Vtop___024root*)
  0.30     33.73     0.16 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__206__PROF__CLINT__l185(Vtop___024root*)
  0.29     33.88     0.15 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__610__PROF__GPR__l201(Vtop___024root*)
  0.29     34.03     0.15 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__168__PROF__IFU__l84(Vtop___024root*)
  0.29     34.19     0.15 12460799     0.00     0.00  exec_once()
  0.28     34.34     0.15 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__14__PROF__DCache__l274(Vtop___024root*)
  0.28     34.49     0.15 24921600     0.00     0.00  Vtop___024root___nba_comb__TOP__3__PROF__Crossbar__l126(Vtop___024root*)
  0.28     34.64     0.15 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__844__PROF__EXU__l159(Vtop___024root*)
  0.27     34.78     0.14 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__573__PROF__ICache__l62(Vtop___024root*)
  0.27     34.93     0.14 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__155__PROF__CLINT__l129(Vtop___024root*)
  0.26     35.07     0.14 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__628__PROF__S011HD1P_X32Y2D128_BW__l20(Vtop___024root*)
  0.26     35.21     0.14 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__448__PROF__EXU__l413(Vtop___024root*)
  0.26     35.35     0.14 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__235__PROF__DCache__l290(Vtop___024root*)
  0.26     35.49     0.14 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__241__PROF__AXI4SRAM__l157(Vtop___024root*)
  0.25     35.62     0.14 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__8__PROF__top__l662(Vtop___024root*)
  0.25     35.76     0.13 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__4__PROF__DCache__l110(Vtop___024root*)
  0.25     35.88     0.13 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__5__PROF__DCache__l109(Vtop___024root*)
  0.25     36.02     0.13 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__480__PROF__GPR__l160(Vtop___024root*)
  0.25     36.15     0.13 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__765__PROF__IDU__l115(Vtop___024root*)
  0.25     36.27     0.13 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__158__PROF__CLINT__l159(Vtop___024root*)
  0.24     36.40     0.12 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__166__PROF__EXU__l441(Vtop___024root*)
  0.23     36.52     0.12 49843200     0.00     0.00  Vtop___024root___ico_sequent__TOP__6__PROF__ICache__l89(Vtop___024root*)
  0.23     36.64     0.12 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__805__PROF__ALU__l104(Vtop___024root*)
  0.23     36.76     0.12 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__817__PROF__AXI4SRAM__l119(Vtop___024root*)
  0.23     36.88     0.12 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__213__PROF__EXU__l424(Vtop___024root*)
  0.23     37.00     0.12 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__17__PROF__base_mul__l85(Vtop___024root*)
  0.23     37.12     0.12 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__518__PROF__ICache__l192(Vtop___024root*)
  0.22     37.23     0.12 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__17__PROF__AXI4SRAM__l86(Vtop___024root*)
  0.22     37.35     0.12 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__422__PROF__top__l565(Vtop___024root*)
  0.22     37.47     0.12 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__616__PROF__ICache__l68(Vtop___024root*)
  0.21     37.58     0.11 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__22__PROF__top__l653(Vtop___024root*)
  0.21     37.69     0.11 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__13__PROF__DCache__l272(Vtop___024root*)
  0.21     37.80     0.11 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__790__PROF__ALU__l120(Vtop___024root*)
  0.21     37.91     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__219__PROF__div__l94(Vtop___024root*)
  0.21     38.02     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__221__PROF__div__l104(Vtop___024root*)
  0.21     38.12     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__228__PROF__EXU__l388(Vtop___024root*)
  0.21     38.23     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__220__PROF__CLINT__l170(Vtop___024root*)
  0.21     38.34     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__400__PROF__ICache__l158(Vtop___024root*)
  0.21     38.45     0.11 12460800     0.00     0.00  Vtop___024root___nba_sequent__TOP__175__PROF__S011HD1P_X32Y2D128_BW__l27(Vtop___024root*)
  0.21     38.56     0.11 12460799     0.00     0.00  Vtop___024unit____Vdpiimwrap_pmem_read_TOP____024unit(unsigned int, unsigned long&)
  0.20     38.67     0.10 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__27__PROF__CLINT__l84(Vtop___024root*)
  0.20     38.77     0.10 37382401     0.00     0.00  Vtop___024root___ico_sequent__TOP__33__PROF__AXI4SRAM__l46(Vtop___024root*)
  0.20     38.88     0.10 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__739__PROF__DCache__l188(Vtop___024root*)
  0.19     38.98     0.10 24921600     0.00     0.00  Vtop___024root___nba_comb__TOP__12__PROF__EXU__l254(Vtop___024root*)
  0.19     39.08     0.10 12460801     0.00     0.00  Vtop___024root___nba_sequent__TOP__750__PROF__IDU__l80(Vtop___024root*)
