Overall summary by type:
  % time  type
    2.63  C++
   20.05  Common code under Vtop
    1.13  VLib
   76.46  Verilog Blocks under Vtop
   -0.27  Unaccounted for/rounding error

Overall summary by design:
  % time  design
    2.63  C++
    1.13  VLib
   96.51  Vtop
   -0.27  Unaccounted for/rounding error

Overall summary by module:
  % time  module
    8.67  ALU
    3.06  AXI4SRAM
    2.63  C++
    3.43  CLINT
    0.77  CSR
    0.16  CacheArbiter
    1.81  Crossbar
   10.55  DCache
    0.12  DeviceArbiter
   10.01  EXU
    1.76  GPR
    4.25  ICache
    1.62  ICacheRAM
    6.87  IDU
    1.88  IFU
    0.20  LFSR_8
    0.40  LSU
    0.14  Pre_Decode
    3.60  S011HD1P_X32Y2D128_BW
    1.13  VLib
   20.05  Vtop common code
    1.62  WBU
    5.52  base_mul
    5.64  div
    0.04  ebreak
    0.10  itrace
    0.66  memory
    0.08  mul
    0.05  print_csr
    0.03  print_gpr
    3.42  top
   -0.27  Unaccounted for/rounding error

Verilog code profile:
   These are split into three categories:
      C++:     Time in non-Verilated C++ code
      Prof:    Time in profile overhead
      VBlock:  Time attributable to a block in a Verilog file and line
      VCommon: Time in a Verilated module, due to all parts of the design
      VLib:    Time in Verilated common libraries, called by the Verilated code

  %   cumulative   self              
 time   seconds   seconds      calls   design  type      filename and line number
  0.00     53.21     0.00         15   -     C++       void std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::_M_realloc_insert<void (*&)(void*, bool), void*&, bool&>(__gnu_cxx::__normal_iterator<VlWorkerThread::ExecRec*, std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> > >, void (*&)(void*, bool), void*&, bool&)
  0.00     53.21     0.00         15   -     C++       std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::erase(__gnu_cxx::__normal_iterator<VlWorkerThread::ExecRec const*, std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> > >)
  0.00     53.21     0.00          8   -     C++       std::__mutex_base::__mutex_base()
  0.00     53.21     0.00          7   -     C++       llvm::StringRef::StringRef(char const*)
  0.00     53.21     0.00          5   -     C++       void std::vector<VlWorkerThread*, std::allocator<VlWorkerThread*> >::_M_realloc_insert<VlWorkerThread*>(__gnu_cxx::__normal_iterator<VlWorkerThread**, std::vector<VlWorkerThread*, std::allocator<VlWorkerThread*> > >, VlWorkerThread*&&)
  0.00     53.21     0.00          4   -     C++       get_time()
  0.00     53.21     0.00          3   -     VLib      VerilatedVarProps::initUnpacked(int const*)
  0.00     53.21     0.00          3   -     C++       llvm::Twine::Twine(llvm::StringRef const&)
  0.00     53.21     0.00          3   -     C++       std::unique_ptr<VerilatedVirtualBase, std::default_delete<VerilatedVirtualBase> >::~unique_ptr()
  0.00     53.21     0.00          3   -     C++       void std::vector<VerilatedRange, std::allocator<VerilatedRange> >::_M_realloc_insert<int const&, int const&>(__gnu_cxx::__normal_iterator<VerilatedRange*, std::vector<VerilatedRange, std::allocator<VerilatedRange> > >, int const&, int const&)
  0.00     53.21     0.00          3   -     C++       set_itrace_ptr
  0.00     53.21     0.00          2   -     VLib      vl_sys_rand32()
  0.00     53.21     0.00          2   -     C++       VlTriggerVec<1ul>::clear()
  0.00     53.21     0.00          2   -     VLib      VerilatedModule::VerilatedModule(char const*)
  0.00     53.21     0.00          2   -     VLib      VerilatedContext::checkMagic(VerilatedContext const*)
  0.00     53.21     0.00          2   -     C++       std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00     53.21     0.00          2   -     C++       std::_Function_handler<void (), VL_FINISH_MT(char const*, int, char const*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     53.21     0.00          1   -     C++       init_i8042()
  0.00     53.21     0.00          1   -     C++       init_regex()
  0.00     53.21     0.00          1   -     C++       init_device()
  0.00     53.21     0.00          1   -     C++       init_wp_pool()
  0.00     53.21     0.00          1   -     VLib      vl_mc_scan_plusargs(char const*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root___eval_stl(Vtop___024root*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root___eval_settle(Vtop___024root*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root___eval_initial(Vtop___024root*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root___ctor_var_reset(Vtop___024root*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root___eval_initial__TOP(Vtop___024root*)
  0.00     53.21     0.00          1   -     C++       exec()
  0.00     53.21     0.00          1   -     C++       init(int, char**)
  0.00     53.21     0.00          1   -     C++       reset()
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024unit____Vdpiimwrap_set_csr_ptr__Vdpioc2_TOP____024unit(VlUnpacked<unsigned long, 6ul> const&)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024unit____Vdpiimwrap_set_itrace_ptr__Vdpioc2_TOP____024unit(VlUnpacked<unsigned long, 3ul> const&)
  0.00     53.21     0.00          1   -     C++       init_sdb()
  0.00     53.21     0.00          1   -     C++       init_vga()
  0.00     53.21     0.00          1   -     C++       load_elf(char*)
  0.00     53.21     0.00          1   -     C++       sim_init()
  0.00     53.21     0.00          1   -     C++       init_time()
  0.00     53.21     0.00          1   -     VLib      _vl_vsss_read_str(_IO_FILE*, int&, unsigned int const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char*, char const*) [clone .constprop.0]
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop__Syms::Vtop__Syms(VerilatedContext*, char const*, Vtop*)
  0.00     53.21     0.00          1   -     C++       VlThreadPool::VlThreadPool(VerilatedContext*, unsigned int)
  0.00     53.21     0.00          2   -     C++       VlThreadPool::~VlThreadPool()
  0.00     53.21     0.00          1   -     VLib      VerilatedSyms::VerilatedSyms(VerilatedContext*)
  0.00     53.21     0.00          1   -     VLib      VerilatedModel::VerilatedModel(VerilatedContext&)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop___024root::Vtop___024root(Vtop__Syms*, char const*)
  0.00     53.21     0.00          1   -     VLib      VerilatedContext::Serialized::Serialized()
  0.00     53.21     0.00          1   -     VLib      VerilatedContext::threadPoolp()
  0.00     53.21     0.00          1   -     VLib      VerilatedContext::addModel(VerilatedModel*)
  0.00     53.21     0.00          1   -     VLib      VerilatedContext::timeunit(int)
  0.00     53.21     0.00          1   -     VLib      VerilatedContext::VerilatedContext()
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop::Vtop(VerilatedContext*, char const*)
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop::Vtop(char const*)
  0.00     53.21     0.00          1   -     VLib      Verilated::threadContextp()
  0.00     53.21     0.00          1   -     VLib      Verilated::catName(char const*, char const*, char const*)
  0.00     53.21     0.00          1   -     VLib      VerilatedContextImp::randSeedDefault64() const
  0.00     53.21     0.00          1   Vtop  VCommon   Vtop::threads() const
  0.00     53.21     0.00          1   -     C++       std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00     53.21     0.00          1   -     C++       std::__uniq_ptr_impl<VerilatedVirtualBase, std::default_delete<VerilatedVirtualBase> >::reset(VerilatedVirtualBase*)
  0.00     53.21     0.00          1   -     C++       _IO_FILE** std::__uninitialized_default_n_1<true>::__uninit_default_n<_IO_FILE**, unsigned long>(_IO_FILE**, unsigned long)
  0.00     53.21     0.00          1   -     C++       unsigned int* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned int*, unsigned long>(unsigned int*, unsigned long)
  0.00     53.21     0.00          1   -     C++       std::vector<_IO_FILE*, std::allocator<_IO_FILE*> >::_M_default_append(unsigned long)
  0.00     53.21     0.00          1   -     C++       std::vector<_IO_FILE*, std::allocator<_IO_FILE*> >::resize(unsigned long)
  0.00     53.21     0.00          1   -     C++       std::vector<unsigned int, std::allocator<unsigned int> >::_M_default_append(unsigned long)
  0.00     53.21     0.00          1   -     C++       std::vector<unsigned int, std::allocator<unsigned int> >::resize(unsigned long)
  0.00     53.21     0.00          1   -     C++       std::__cxx11::_List_base<std::pair<void (*)(void*), void*>, std::allocator<std::pair<void (*)(void*), void*> > >::_M_clear()
  0.00     53.21     0.00          1   -     C++       init_disasm
  0.00     53.21     0.00          1   -     C++       set_csr_ptr
  0.00     53.21     0.00          1   -     C++       set_gpr_ptr
